id_ramal;empresa;linea;ramal;desclinearamal;fin_ida;fin_vuelta;text_recorrido
58;2;153;ROJO;153R;Montevideo y Donado;26 de Agosto y Rondeau; IDA: Desde 26 de Agosto y Bv. Rondeau, por 26 de Agosto, Valentín Gómez, Ugarte, Spegazzini, Salvat, Varela, H. Irigoyen, Unión, República de Irak (ex calle 1340), Molina, Aráoz, Anchoris, Superí, Agrelo, Av. Puccio, Av. Colombres, Frondizi (ex Granel), Av. Centenario, Bv. Avellaneda, Gorriti, Falucho, Junín, Av. Caseros, Av. Francia (sentido Norte-Sur), Brown, Ovidio Lagos, Salta, Entre Ríos, Av. Pellegrini, Provincias Unidas, Neuquén, Guatemala, Av. Mendoza, Colectora de Av. Circunvalación (lateral Oeste-sentido Norte-Sur), Montevideo hasta Donado. VUELTA: Desde Montevideo y Donado, por Donado, Av. Mendoza, Colombia, Forest, Av. Provincias Unidas, Montevideo, Cullen, Av. Pellegrini, Alvear, Montevideo, Corrientes, Urquiza, Callao, Güemes, Av. Francia (sentido Sur-Norte), paso sobre el nivel de Pje. Escalada (puente), Av. Caseros, Ing. Thedy, Vélez Sarsfield, Bv. Avellaneda, Av. Centenario, Frondizi (ex Granel), Av. Colombres, Av. Puccio, Bv. Rondeau, Baigorria, Medrano, Rivera, Molina, República de Irak (ex calle 1340), Unión, H. Irigoyen, V. Gómez, Massa, Mont Cenis, Colectora de Av. Circunvalación Lateral Sur, Bv. Rondeau hasta 26 de Agosto.
;;;;;;;
64;2;K;UNICO;K;Ciudad Universitaria;Wilde y Mendoza; IDA: Desde Wilde y Mendoza, por Mendoza, Alem, Cerrito, Berutti, hasta Riobamba. VUELTA: Desde Berutti y Riobamba, por Riobamba, Necochea, 3 de Febrero, 1º de Mayo, San Juan, Mendoza hasta Wilde.(Horario de seguridad de 00:00 a 06:00) IDA: Desde Wilde y Mendoza, por Mendoza, Alem, Cerrito, hasta Necochea. VUELTA: Desde Necochea y Cerrito, por Necochea, 3 de Febrero, 1º de Mayo, San Juan, Mendoza hasta Wilde.
;;;;;;;
66;2;Ronda del Centro;UNICO;RDC;Ciudad Universitaria;Av. del Valle y Ov. Lagos; IDA: Egreso desde el Centro Universitario Rosario, por Viamonte,  Chacabuco, Bv. 27 de Febrero, Av. Francia, Santa Fe, Vera Mujica, Tucumán, Av. Francia, Brown, Pueyrredón, Av. Ilia, Av. Aristóbulo del Valle hasta Ovidio Lagos. VUELTA: Desde Ovidio Lagos y Av. Aristóbulo del Valle, por Ovidio Lagos, Bv. 27 de Febrero, Necochea, Cerrito, Convención, ingreso al Centro Universitario Rosario.FUNCIONAMIENTO: Lunes a Viernes (días hábiles) de 06:00 a 22:00 horas.Fuera del ciclo lectivo universitario y/o cuando no se encuentre habilitado el circuito interno de la Ciudad Universitario realizará el siguiente itinerario: IDA: Desde Riobamba y Berutti, por Riobamba, Chacabuco, Bv. 27 de Febrero, a su recorrido. VUELTA: De su recorrido, Bv. 27 de Febrero, Necochea, Cerrito, Berutti hasta Riobamba.
;;;;;;;
74;2;Enlace Sur;UNICO;ESU;Rui Barbosa y San Martín.;Ntra. Sra del Rosario y Lituania; IDA: Desde Av. Nuestra Señora del Rosario y Lituania, por Nuestra Señora del Rosario, Pavón, Anchorena, Leiva, Arijón, Av. Ayacucho, Rui Barbosa hasta Av. San Martín.- VUELTA: Desde Av. San Martín y Rui Barbosa, por Av. San Martín, Av. Uriburu, Laprida, Lamadrid, Av. Ayacucho, Arijón, Lituania hasta Av. Nuestra Señora del Rosario.-
;;;;;;;
75;2;Enlace Santa Lucia;UNICO;ESL;Prov. Unidas y Riobamba;Calle 1752 y Calle 1739; IDA: Desde Riobamba y Av. Provincias Unidas, por Riobamba, Ecuador, Cochabamba (sentido E-O), Nicaragüa, Pasco (sentido E-O), Colectora Juan Pablo II(sentido N-S), Paso por bajo del puente Av. Circunvalación, Colectora J. M. Rosas (sentido S-N), calle 1707, calle 1756, calle 1739 hasta calle 1752. VUELTA: Desde calle 1739 y calle 1752, por calle 1739, calle 1746, Colectora  J.M. Rosas (sentido Norte-Sur), Paso por debajo del puente Av. Circunvalación, Colectora Juan Pablo II (sentido S-N), Pasco (sentido O-E), Nicaragüa (sentido S-N), Cochabamba (sentido O-E), Guatemala, Pasco, Av. Pcias Unidas hasta Riobamba. Transbordo gratuito:Con las líneas 120 y 122 bandera Roja en la Intersección de Av. Provincias Unidas  y  calle Riobamba. Horario de prestación de 5:30 a 21:00 hs de lunes a domingos, con un agente policial en la unidad solo en el sector del barrio Santa Lucía.
;;;;;;;
63;2;Enlace Noroeste;UNICO;ENO;Malabia y Scheweitzer;Eva Peron y Rodo;IDA: Desde Malabia y Schweitzer, por Schweitzer (O-E), Álvarez Condarco (N-S), La República, Álvarez Condarco (N-S), Juan José Paso (O-E), Sarratea (N-S), Azcuénaga (O-E), Bv. Wilde (N-S), Av. Eva Perón hasta Rodo .- VUELTA: Desde Rodo y Av. Eva Perón, por Rodo, Navarro, Donado, Av. Eva Perón ( E-O), Bv. Wilde (S-N), Azcuénaga (E-O), Sarratea (S-N), Juan José Paso (E-O), Álvarez Condarco (S-N), La República (E-O), Malabia (S-N), Génova, Mensajerías, Av. Newbery, Malabia hasta Schweitzer.Funcionamiento: 06:00 a 21:30 horas de lunes a domingos.- Transbordo gratuito La línea Enlace tendrá transbordo gratuito con las líneas 116 y 133 bandera Negra y Verde en la intersección de las  Av. Eva Perón y Rodo .
;;;;;;;
68;3;RONDA CUR-SUR;UNICO;CUR-SUR;Ciudad Universitaria;Battle y Ordóñez y Ov. Lagos.; IDA: Desde B. y Ordóñez y Av. Ov. Lagos, por Av.  Ov. Lagos, Av. Arijón,  Av. San Martín, 1º Junta, Maipú, Cerrito, Beruti  hasta Riobamba. 
VUELTA:Desde Beruti y Riobamba, por Riobamba, Laprida, Rueda, Av. San Martín, Av. Arijón, Av. Ov. Lagos, Colectora José M. Rosas, Curapaligue, B. y Ordóñez hasta Av. Ov. Lagos.;;;;;;;
;;;;;;;
67;3;115;AEROPUERTO;NULL;Ciudad Universitaria;Aeropuerto; IDA: Egreso desde el predio del Aeropuerto, por Real (rotonda), Av. Jorge Newbery, Bv. Wilde, Juan José Paso, Donado, Chassaing, Colombres, Av. Eva Perón - Córdoba, Balcarce, San Luis, Alem, Montevideo, Colón, Cerrito, Berutti hasta Riobamba. VUELTA: Desde Berutti y Riobamba, por Riobamba, Necochea, E. Zeballos, Maipú, Santa Fe-Eva Perón, Donado, Juan José Paso, Bv. Wilde, Av. Jorge Newbery, rotonda, Real, ingreso al predio del Aeropuerto.<p></p><b>TRANSBORDO GRATUITO:</b> En el nodo ubicado en Av. Eva Perón y Rodó:Con la línea Enlace Noroeste (de lunes a viernes, de 6 a 21:30 hs.)
;;;;;;;
72;3;ENLACE IRIGOYEN;UNICO;EBI;Regimiento 11 y Laprida;Clavel y Hortensia; IDA:Desde calle Clavel y Hortensia, por Hortencia, Flor de Nacar, 5 de Agosto-Colectora Jose M. Rosa, Av. San Martín, Calle 503, Carnot, Blandengues, Av. San Martín,  Regimiento 11 hasta Laprida. VUELTA:Desde Regimiento 11 y Laprida, por Laprida, Ntra. Sra. Del Rosario, Av. San Martín, Frias, Pago de los Arroyos, Colectora Juan Pablo II, España, 5 de Agosto, Flor de Nacar, Estrella Federal, Clavel hasta Hortensia.
;;;;;;;
99;3;DIFERENCIAL ROSARIO SUR;UNICO;DFRS;Estación Terminal Mariano Moreno;Estación Rosario Sur; IDA: Desde Av. San Martín y  R. De Pineda (Estación Rosario Sur), por Av. San Martín, Bv. 27 de Febrero, Corrientes, Jujuy, Pte. Roca, Av. Dr. Illia, Av. A. del Valle, Av. Ovidio Lagos, Santa Fe, Alsina, Córdoba, Castellano ingreso a la Estación Terminal de Omnibus Mariano Moreno. VUELTA: Desde Estación Terminal Mariano Moreno, por Castellano, Santa Fe, Alsina, Córdoba, Callao, Av. Rivadavia-Av. Wheelwright, Entre Ríos, Bv. 27 de Febrero, Av. San Martín, Caupolican, R. De Pineda  hasta Av. San Martín (Estación Rosario Sur).<p></p><b>FUNCIONAMIENTO:</b></br> Llega a la Estación Rosario Sur a las 23:27, inicia su recorrido aproximadamente a las 23:42, una vez llegado el tren, de acuerdo al siguiente esquema:<ul><li>Plaza Sarmiento: 23:57</li><li>Estación Rosario Norte: 00:05</li><li>Terminal de Omnibus Mariano Moreno: 00:30</li></ul><p></p> Luego, reinicia su recorrido desde la Terminal de Omnibus Mariano Moreno aproximadamente a las 00:45, una vez llegado el Tren, de acuerdo al siguiente esquema:<ul><li>Estación Rosario Norte: 00:55</li><li>Plaza Sarmiento: 01:10</li><li>Estación Rosario Sur: 01:25</li></ul>
;;;;;;;
98;2;ENLACE PARQUE IBARLUCEA;UNICO;ENIB;Morrow y Camino Límite;Polideportivo Barrio Cristaleria; IDA:Desde calle Alberini y Pje. Peatonal, por Alberini, Tres Sargentos, Camino Límite de Municipio (sentido Este-Oeste) hasta Morrow. VUELTA: Desde Camino Límite de Municipio y Morrow, por Morrow, Cullen y Ugarte, Villa del Parque, Alberini hasta Pje. Peatonal. FUNCIONAMIENTO:Todos los días de 5:00 a 24:00 hrs. TRANSBORDO GRATUITO:En el nodo ubicado en Alberini y Pje. Peatonal:Con la línea 153 N (todos los días, en su horario de funcionamiento).
 ;;;;;;;
73;2;ENLACE AVELLANEDA OESTE;UNICO;EAO;Rouillón y Cisneros;Rouillón y  Segui; IDA: Desde calle Rouillón y Av. Pte. Perón, por calle Rouillón, Cisneros, Matienzo,  Maradona, Felipe More hasta Aborígenes Argentino. VUELTA: Desde F. More y Aborígenes Argentinos, por Aborígenes Argentinos, Matienzo, Cisneros, Rouillón, Amenábar, Liniers, Gálvez, Rouillón Hasta Av. Pte. Perón.<br/> • Funcionamiento:<br/> Días: de lunes a domingos / Horario: 06:00 a 22:00 hs.-<br/> Trasbordo gratuito: con la línea 122 banderas Roja y Verde.-
;;;;;;;
96;2;Q;UNICO;Q;Ciudad Universitaria;Francia y Juan Pablo II; IDA: Desde Colectora Juan Pablo II y Francia, Av. Francia,  Mendoza, Alem, Cerrito, Berutti, hasta Riobamba. VUELTA: Desde Riobamba y Berutti, por Riobamba, Necochea, 3 de Febrero, 1º de Mayo, San Juan, Av. Francia, Arijón, Av. Ov. Lagos, Colectora Juan Pablo II hasta Francia
;;;;;;;
65;2;Linea de la Costa;UNICO;LC;Pintor Musto e Iturraspe;Av. Belgrano y Rioja; IDA: Desde Av. Belgrano y Rioja, por Av. Belgrano (calle lateral), Sgto Cabral, Urquiza, Entre Rios, Santa Fe, Bv. Avellaneda, Viaducto E. Pinasco, Bv. Avellaneda, Av. Centenario, Av. A. Frondizi, Av.  C. Colombres, Av. Eudoro Carrasco, Galicia, Iriarte, P. Musto hasta Iturraspe. VUELTA: Desde P. Musto e Iturraspe, por Pintor Musto, Av. Eudoro Carrasco, Av. C. Colombres, Av. A. Frondizi, Av. Centenario, Bv. Avellaneda, Viaducto E. Pinasco, San Lorenzo, Alsina, Córdoba, Alvear, San Lorenzo, Corrientes, Tucumán, Av. Belgrano (calle lateral-calle central) hasta Rioja.
