id_ramal;empresa;linea;ramal;desclinearamal;fin_ida;fin_vuelta;text_recorrido
21;2;123;UNICO;123;1º de Mayo y San Juan;Parque Industrial Pérez; IDA: Desde Playón Parque Industrial de Peréz y Camino Límite del Municipio, por Camino Límite del Municipio, Rivarola, Av. Provincias Unidas, Bv. 27 de Febrero, C. Aldao, Riobamba, Gutenberg, Cerrito, Bv. Avellaneda, Av. Pellegrini, Vera Mujica, 9 de Julio, Pte. Roca, Mendoza, 1º de Mayo hasta San Juan. <br> VUELTA: Desde San Juan y 1º de Mayo, por San Juan, Dorrego, Av. Pellegrini, Gutenberg, Riobamba, Matienzo, Bv. 27 de Febrero, Av. Provincias Unidas, Rivarola, Camino Límite del Municipio hasta Playón Parque Industrial de Peréz.
;;;;;;;
22;1;125;UNICO;125;Corrientes y Santa Fe;Rueda y Provincias Unidas; IDA: Desde Av. Provincias Unidas y Rueda, por Av. Provincias Unidas (N-S), Bv. Segui, Barra, Juan XXIII (ex Biedma), Av. Rouillón, Bv. Segui, C. Aldao, Av. Pte. Perón, Cafferata, La Paz, Av. Francia, Av. Pellegrini, Alvear, Montevideo, Corrientes hasta Santa Fe. VUELTA: Desde Corrientes y Santa Fe, por Santa Fe, Balcarce, Av. Pellegrini, Richieri, Montevideo, Av. O. Lagos, Viamonte, San Nicolás, Av. Pte. Perón, Bv. 27 de Febrero, Matienzo, Bv. Segui, Av. Rouillón, Juan XXIII (ex Biedma), Garzón, Bv. Segui (E-O), Av. Provincias Unidas (S-N), Av. Pte. Perón (E-O), República del Salvador, Rueda hasta Av. Provincias Unidas.<br/><br/>Nuevas paradas: -Corrientes y E. Zeballos -Corrientes y 9 de Julio -Corrientes y Mendoza -Corrientes y San Luis -Corrientes y Córdoba
;;;;;;;
23;3;126;NEGRO;126A;San Lorenzo y Laprida;Ov. Lagos y Pte. Quintana; IDA: Desde Ovidio Lagos y Pte. Quintana, por Ovidio Lagos, Biedma, Rodríguez, Pte. Quintana, Crespo, Ameghino, San Nicolás, Bv. 27 de Febrero, Crespo, Virasoro, Av. Francia,  Montevideo, Callao, Mendoza, Moreno, San Lorenzo hasta Laprida. VUELTA: Desde San Lorenzo y Laprida, por Laprida, 3 de Febrero, Ovidio Lagos, Bv. 27 de Febrero, Bv. Avellaneda, Dr. Riva, Ovidio Lagos hasta Pte. Quintana.
;;;;;;;
24;3;126;ROJO;126C;San Lorenzo y Laprida;Ov. Lagos y Pte. Quintana; IDA: Desde Ovidio Lagos y Pte. Quintana, por Ovidio Lagos, Biedma, Rodríguez, Pte. Quintana,  Bv. Avellaneda, Bv. 27 de Febrero, Crespo, Virasoro, Carrasco, Pte. Perón, Av. Francia, Montevideo, Callao, Mendoza, Moreno, San Lorenzo hasta Laprida. VUELTA: Desde San Lorenzo y Laprida, por Laprida, 3 de Febrero, Ovidio Lagos, Bv. 27 de Febrero, Iriondo, Viamonte, Cafferata, Garibaldi, Av. Francia, Dr. Riva, Ovidio Lagos hasta Pte. Quintana. 
;;;;;;;
25;3;127;UNICO;127;San Lorenzo y Laprida;Battle y Ordóñez y Ov. Lagos; IDA: Desde B. y Ordóñez y Ov. Lagos, por Ov. Lagos, Colectora Juan Pablo II, Av. Francia, Arijón, Crespo, H. de la Quintana, Av. Francia, Mendoza, Moreno, San Lorenzo hasta Laprida. VUELTA: Desde San Lorenzo y Laprida, por Laprida, 3 de Febrero, Av. Francia, Nuesta Señora del Rosario, Crespo, Arijón, Av. Ov. Lagos, Colectora José M. Rosas, Curapaligue, B. y Ordóñez hasta Ov. Lagos.
;;;;;;;
26;1;128;NEGRO;128N;San Lorenzo y Laprida;Urquiza y Francia; IDA: Desde Urquiza y Av. Francia, por Urquiza, Cafferata, Santa Fe, Bv. Avellaneda, Biedma, Av. Ovidio Lagos, Bv. Segui, Mitre, San Lorenzo hasta Laprida.- VUELTA: Desde Laprida y San Lorenzo, por Laprida, San Juan, Entre Ríos, Bv. Segui, Bv. Avellaneda, Córdoba, Vera Mújica, Tucumán, Suipacha, Urquiza hasta Av. Francia.<BR/> <BR/>Nuevas paradas: -Mitre  y Córdoba -Mitre  y San Lorenzo -San Lorenzo y San Martín -Laprida y Córdoba -Laprida y San Juan -San Juan y Baron de Maua -San Juan y Mitre
;;;;;;;
27;1;128;ROJO;128R;San Lorenzo y Laprida;Urquiza y Francia; IDA: Desde Urquiza y Av. Francia, por Urquiza, Cafferata, Biedma, Av. Ovidio Lagos, Bv. Segui, Mitre, San Lorenzo hasta Laprida.- VUELTA: Desde Laprida y San Lorenzo, por Laprida, San Juan, Entre Ríos, Bv. Segui, San Nicolás, Córdoba, Vera Mújica, Tucumán, Suipacha, Urquiza hasta Av. Francia.<BR/> <BR/>Nuevas paradas: -Mitre  y Córdoba -Mitre  y San Lorenzo -San Lorenzo y San Martín -Laprida y Córdoba -Laprida y San Juan -San Juan y Baron de Maua -San Juan y Mitre
;;;;;;;
