"id_ppd";"id_ramal";"temporada";"dia";"direccion";"inicio";"pto1";"pto2";"pto3";"pto4";"pto5";"pto6";"pto7";"pto8";"pto9";"pto10";"pto11";"pto12";"pto13";"pto14";"pto15";"pto16";"pto17";"pto18";"pto19";"pto20";"pto21";"pto22";"pto23";"pto24";"pto25";"fin"
"5756";"47";"INVIERNO 16";"FESTIVO";"VUELTA";"Cementerio de V.G.G.";"Rosario y Mosconi";"S. Martín y Av. Perón";"S. Diego y 17 Octubre";"S. Estero y Perón";"Av. Perón y Saladillo ";"Arijon y Andes";"S. Bustam.  y S. Martin";"S. Martin y Uriburu";" S. Martín  y Segui";"1 Junta y 27 de Febrero";"Maipú y Pellegrini";"Maipu y S. Juan";"Rioja y Corrientes";"Alvear y Cordoba";"Santa Fe y Cafferatta";"San Juan y Avellaneda";"San Juan y Tte. Agneta";"Mendoza y P. Unidas";"Mendoza y Donado";"Donado y Córdoba";"Donado y J.J.Paso";"Palliere y Gianneo";NULL;"Frecuencia Promedio";NULL;"Duracion"
"5757";"47";"INVIERNO 16";"FESTIVO";"IDA";"Mendoza y P. Unidas";"Mendoza y Avellaneda";"Cordoba y Cafferatta";"Cordoba y Oroño";"S. Luis y Laprida";"Laprida y Pellegrini";"Laprida y 27 de Febrero";"S. Martín y Segui";"S. Martin y Uriburu";"S. Martín y Arijón";"Arijón y Lituania";"Av. Peron y A. Saladillo";"Perón y S. Estero";"17 Octubre y S. Diego";"Av. Perón y San Martín";"Mosconi y Rosario";NULL;NULL;"Cementerio de V.G.G.";NULL;"Frecuencia Promedio";NULL;NULL;NULL;NULL;NULL;"Duracion"
"5786";"23";"INVIERNO 16";"FESTIVO";"IDA";"LAGOS Y PTE. QUINTANA";"S. NICOLAS Y DR. RIVA";"FRANCIA VIRASORO";"FRANCIA PELLEGRINI";"MENDOZA OROÑO";"SAN LORENZO ROCA";NULL;NULL;NULL;"LAGOS Y 27 DE FEB.";"AVELLANEDA Y AMENABAR";"AVELLANE DR. RIVA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAPRIDA CÓRDOBA"
"5787";"23";"INVIERNO 16";"FESTIVO";"VUELTA";"LAPRIDA CÓRDOBA";"3 DE FEB. MITRE";"3 DE FEB. OROÑO";"LAGOS Y 27 DE FEB.";"AVELLANEDA Y AMENABAR";"AVELLANEDA Y DR. RIVA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAGOS Y PTE. QUINTANA"
"5788";"23";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"LAGOS Y PTE. QUINTANA";"S. NICOLAS Y DR. RIVA";"FRANCIA VIRASORO";"FRANCIA PELLEGRINI";"MENDOZA OROÑO";"SAN LORENZO ROCA";NULL;NULL;NULL;"LAGOS Y 27 DE FEB.";"AVELLANEDA Y AMENABAR";"AVELLANE DR. RIVA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAPRIDA CÓRDOBA"
"5789";"23";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"LAPRIDA CÓRDOBA";"3 DE FEB. MITRE";"3 DE FEB. OROÑO";"LAGOS Y 27 DE FEB.";"AVELLANEDA Y AMENABAR";"AVELLANEDA Y DR. RIVA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAGOS Y PTE. QUINTANA"
"5790";"24";"INVIERNO 16";"FESTIVO";"IDA";"LAGOS Y PTE. QUINTANA";"AVELLANEDA Y 27 DE FEBRERO";"VIRASORO Y FRANCIA ";"FRANCIA Y RIOBAMBA";"MENDOZA Y OROÑO";"SAN LORENZO ROCA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"CÓRDOBA LAPRIDA"
"5791";"24";"INVIERNO 16";"FESTIVO";"VUELTA";"CÓRDOBA LAPRIDA";"3 DE FEBRERO Y CORRIENTES";"OV.  LAGOS Y PELLEGRINI";"27 DE FEBRERO Y FRANCIA";"CAFERATTA Y GARAY";"CAFERATTA Y CENTENO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAGOS Y PTE. QUINTANA"
"5792";"24";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"LAGOS Y PTE. QUINTANA";"AVELLANEDA Y 27 DE FEBRERO";"VIRASORO Y FRANCIA ";"FRANCIA Y RIOBAMBA";"MENDOZA Y OROÑO";"SAN LORENZO ROCA";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAPRIDA Y CÓRDOBA "
"5793";"24";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"LAPRIDA Y CÓRDOBA ";"3 DE FEBRERO Y MITRE";"OV.  LAGOS Y PELLEGRINI";"27 DE FEBRERO Y FRANCIA";"CAFERATTA Y GARAY";"CAFERATTA Y CENTENO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"LAGOS Y PTE. QUINTANA"
